Fantasy Team,Player ID,Round,Pick,Ov Pick,Pos,Player,Team,DraftGP,DraftPts,DraftPPG,DraftRank,DrafRankDelta,SeasonGP,SeasonPts,SeasonPPG,SeasonRank,SeasonDelta,Utilisation
PUN,*06mrz*,13,3,147,D,Pedro Henrique Cardoso de Lima,WOL,0,0,0,172,-25,9.003831417624522,23.5,2.61,425,-278,0
PLE,*06p5s*,13,4,148,M,Brajan Gruda,BHA,1,0.75,0.75,171,-23,17.98245614035088,82,4.56,329,-181,0.009146341463414634
KKCS,*04qfz*,13,5,149,D,Jose Diogo Dalot Teixeira,MUN,25,187.75,7.51,59,90,33.993015133876604,292,8.59,59,90,0.6429794520547946
BRG,*04ge7*,13,6,150,F,Donyell Malen,AVL,2,27.5,13.75,123,27,21.021377672209027,88.5,4.21,314,-164,0.3107344632768362
RVN,*05ylx*,13,7,151,M,Dejan Kulusevski,TOT,0,0,0,172,-21,0,0,0,716,-565,0
MTP,*06fuw*,13,8,152,G,Djordje Petrovic,BOU,9,39.5,4.39,114,38,37.97886393659181,287.5,7.57,66,86,0.1373913043478261
UFOE,*06cms*,13,9,153,M,Sandro Tonali,NEW,12,72.25,6.02,95,58,35.01821493624772,192.25,5.49,167,-14,0.37581274382314694
COB,*060wh*,13,10,154,F,Alejandro Garnacho Ferreyra,MUN,9,78.75,8.75,93,61,23.98589065255732,136,5.67,250,-96,0.5790441176470589
WOL,*063zi*,13,11,155,M,Matheus Luiz Nunes,MCI,1,1.25,1.25,165,-10,33.980582524271846,280,8.24,76,79,0.004464285714285714
BGE,*05oeh*,13,12,156,D,Kenny Tete,FUL,15,138.25,9.22,76,80,22.004889975550125,180,8.18,180,-24,0.7680555555555556
BGE,*04hk9*,14,1,157,M,Mikel Merino,ARS,5,66.25,13.25,100,57,22.01130856219709,136.25,6.19,248,-91,0.48623853211009177
WOL,*03dx3*,14,2,158,D,Kieran Trippier,NEW,1,21.25,21.25,129,29,20.98950524737631,140,6.67,237,-79,0.15178571428571427
COB,*045ob*,14,3,159,G,Caoimhin Kelleher,BRF,10,100.5,10.05,85,74,36.98102016607355,311.75,8.43,44,115,0.322373696872494
UFOE,*044ei*,14,4,160,G,Nick Pope,NEW,2,27,13.5,124,36,26.9880174291939,247.75,9.18,105,55,0.10898082744702321
MTP,*061vk*,14,5,161,F,Jaidon Anthony,BUR,15,133.25,8.88,79,82,37.00762388818297,291.25,7.87,60,101,0.4575107296137339
RVN,*05o8o*,14,6,162,D,Jayden Bogle,LEE,1,1.75,1.75,164,-2,33.97727272727273,224.25,6.6,126,36,0.007803790412486065
BRG,*06yxe*,14,7,163,F,Estevao Willian Almeida de Oliveira Gon̤alves,CHE,11,75.75,6.89,94,69,22.001763668430335,124.75,5.67,259,-96,0.6072144288577155
KKCS,*03u2b*,14,8,164,F,Adama Traore,FUL,0,0,0,172,-8,24.050632911392405,19,0.79,436,-272,0
PLE,*050jq*,14,9,165,D,Marc Guehi,CRY,33,391.5,11.86,10,155,34.99577345731192,414,11.83,9,156,0.9456521739130435
PUN,*06r9h*,14,10,166,M,Romain Esse,CRY,0,0,0,172,-6,3.9473684210526314,1.5,0.38,498,-332,0
OWL,*04mup*,14,11,167,D,Trevoh Chalobah,CHE,2,6,3,146,21,34.0153452685422,266,7.82,88,79,0.022556390977443608
